Index_0,Technical_Name,Pretty_Name
s,redhologram,Hologirl
s,camera,Camera
s,joulutahti,Poinsetta
s,hyacinth1,Pink Hyacinth
s,hyacinth2,Blue Hyacinth
s,club_sofa,Club sofa
s,chair_plasto*10,Chair
s,chair_plasto*11,Chair
s,bardeskcorner_polyfon*12,Corner Cabinet/Desk
s,bardeskcorner_polyfon*13,Corner Cabinet/Desk
s,chair_plasto*12,Chair
s,chair_plasto*13,Chair
s,chair_plasto*14,HC chair
s,table_plasto_4leg*14,HC table
s,mocchamaster,Mochamaster
s,carpet_legocourt,Basketball Court
s,bench_lego,Team Bench
s,legotrophy,Basketball Trophy
s,valentinescreen,Holiday romance
s,edicehc,Dicemaster
s,rare_daffodil_rug,Petal Patch
s,rare_beehive_bulb,Royal Egyptian Lamp
s,hcsohva,Throne sofa
s,hcamme,Tubmaster
s,rare_parasol*0,Green Parasol
s,rare_elephant_statue,Golden Elephant
s,rare_fountain,Granite Fountain
s,rare_stand,Speaker's Corner
s,rare_globe,Habbo Globe
s,rare_hammock,Crusoe's Hammock
s,rare_elephant_statue*1,Silver Elephant
s,rare_elephant_statue*2,Bronze Elephant
s,rare_fountain*1,Grey Fountain
s,rare_fountain*2,Jade Fountain
s,rare_fountain*3,Blue Kimberlite Fountain
s,rare_beehive_bulb*1,Red Amber Lamp
s,rare_beehive_bulb*2,Yellow Amber Lamp
s,rare_xmas_screen,Santa and Elf
s,rare_parasol*1,Yellow Parasol
s,rare_parasol*2,Orange Parasol
s,rare_parasol*3,Violet Parasol
s,soft_jaggara_norja,Norja-pehmojakkara
s,house2,Eaten Gingerbread
s,djesko_turntable,DJ Turntable
s,md_sofa,Mountain dew sohva
s,md_limukaappi,Habbo Cola Machine
s,table_plasto_4leg*10,Occasional Table
s,table_plasto_4leg*15,Occasional Table
s,table_plasto_bigsquare*14,Square Dining Table
s,table_plasto_bigsquare*15,Square Dining Table
s,table_plasto_round*14,Round Dining Table
s,table_plasto_round*15,Round Dining Table
s,table_plasto_square*14,Occasional Table
s,table_plasto_square*15,Occasional Table
s,chair_plasto*15,Chair
s,chair_plasty*7,Plastic Pod Chair
s,chair_plasty*8,Plastic Pod Chair
s,chair_plasty*9,Plastic Pod Chair
s,chair_plasty*10,Plastic Pod Chair
s,chair_plasty*11,Plastic Pod Chair
s,chair_plasto*16,Chair
s,table_plasto_4leg*16,Occasional Table
s,hockey_score,Scoreboard
s,hockey_light,Lert
s,doorD,Imperial Teleport
s,prizetrophy2*3,Duck trophy
s,prizetrophy3*3,Globe trophy
s,prizetrophy4*3,Fish trophy
s,prizetrophy5*3,Duo trophy
s,prizetrophy6*3,Champion trophy
s,prizetrophy*1,Classic trophy
s,prizetrophy2*1,Duck trophy
s,prizetrophy4*1,Fish trophy
s,prizetrophy5*1,Duo trophy
s,prizetrophy6*1,Champion trophy
s,prizetrophy7*1,Gold Habbo trophy
s,prizetrophy*2,Classic trophy
s,prizetrophy2*2,Duck trophy
s,prizetrophy3*2,Globe trophy
s,prizetrophy4*2,Fish trophy
s,prizetrophy5*2,Duo trophy
s,prizetrophy6*2,Champion trophy
s,prizetrophy7*2,Silver Habbo trophy
s,prizetrophy*3,Classic trophy
s,hc_chr,Majestic Chair
s,hc_tbl,Nordic Table
s,hc_lmp,Oil lamp
s,hc_dsk,Study desk
s,nest,Nest
s,petfood1,Doggy Bones
s,petfood2,Sardines
s,petfood3,Cabbage
s,waterbowl*4,Blue Water Bowl
s,waterbowl*5,Brown Water Bowl
s,waterbowl*2,Green Water Bowl
s,waterbowl*1,Red Water Bowl
s,waterbowl*3,Yellow Water Bowl
s,toy1,Rubber Ball
s,toy1*1,Rubber Ball
s,toy1*2,Rubber Ball
s,toy1*3,Rubber Ball
s,toy1*4,Rubber Ball
s,goodie1,Marzipan Man
s,goodie1*1,Marzipan Man
s,goodie1*2,Marzipan Man
s,goodie2,Chocolate Mouse
s,scifiport*0,Red Laser Door
s,scifiport*9,Violet Laser Portal
s,scifiport*8,Purple Laser Portal
s,scifiport*7,Turquoise Laser Portal
s,scifiport*6,White Laser Portal
s,scifiport*5,Black Laser Portal
s,scifiport*4,Pink Laser Portal
s,scifiport*3,Jade Laser Portal
s,scifiport*2,Blue Laser Portal
s,scifiport*1,Golden Plasma Gate
s,scifirocket*9,Violet Smoke Machine
s,scifirocket*8,Purple Smoke Machine
s,scifirocket*7,Aqua Smoke Machine
s,scifirocket*6,Grey Smoke Machine
s,scifirocket*5,HB Zero-300
s,scifirocket*4,Pink Smoke Machine
s,scifirocket*3,Jade Smoke Machine
s,scifirocket*2,Blue Smoke Machine
s,scifirocket*1,Yellow Smoke Machine
s,scifirocket*0,Red Smoke Machine
s,scifidoor*10,Violet Spaceship Door
s,scifidoor*9,Blue Spaceship Door
s,scifidoor*8,Purple Spaceship Door
s,scifidoor*7,Aqua Spaceship Door
s,scifidoor*6,The Black Monolith
s,scifidoor*5,White Spaceship Door
s,scifidoor*4,Jade Spaceship Door
s,scifidoor*3,Sky Spaceship Door
s,scifidoor*2,Yellow Spaceship Door
s,scifidoor*1,Pink Spaceship Door
s,pillow*5,Black Giant Pillow
s,pillow*8,Navy Giant Pillow
s,pillow*0,A Snow Drift
s,pillow*1,Pink Giant Pillow
s,pillow*2,Festive Red Pillow
s,pillow*7,Bonnie Blonde's Pillow
s,pillow*9,Green Giant Pillow
s,pillow*4,Golden Giant Pillow
s,pillow*6,Blue Giant Pillow
s,pillow*3,Turquoise Giant Pillow
s,marquee*1,Pink marquee
s,marquee*2,Red Marquee
s,marquee*7,Purple Marquee
s,marquee*10,White Marquee
s,marquee*8,Majestic Marquee
s,marquee*9,Green Marquee
s,marquee*5,Graphite Marquee
s,marquee*4,Yellow Marquee
s,marquee*6,Blue Marquee
s,marquee*3,Aqua Marquee
s,wooden_screen*1,Pink Oriental screen
s,wooden_screen*2,Red Oriental Screen
s,wooden_screen*7,Purple Oriental Screen
s,wooden_screen*0,White Oriental Screen
s,wooden_screen*8,Teal Oriental Screen
s,wooden_screen*5,Grey Asian Screen
s,wooden_screen*9,Green Oriental Screen
s,wooden_screen*4,Golden Oriental Screen
s,wooden_screen*6,Blue Oriental Screen
s,wooden_screen*3,Aqua Oriental Screen
s,pillar*6,Doric Terracotta Pillar
s,pillar*1,Doric Pink Marble Pillar
s,pillar*9,Doric Rock
s,pillar*0,Doric Classic Pillar
s,pillar*8,Doric Olive Green Pillar
s,pillar*5,Doric Green Pillar
s,pillar*4,Doric Graphite Pillar
s,pillar*7,Doric Gold Pillar
s,pillar*3,Doric Blue Pillar
s,rare_dragonlamp*4,Black Dragon Lamp
s,rare_dragonlamp*0,Fire Dragon Lamp
s,rare_dragonlamp*5,Forest Dragon Lamp
s,rare_dragonlamp*2,Jade Dragon
s,rare_dragonlamp*8,Bronze Dragon Lamp
s,rare_dragonlamp*9,Frost Dragon
s,rare_dragonlamp*7,Sky Dragon Lamp
s,rare_dragonlamp*6,Golden Dragon
s,rare_dragonlamp*1,Blue Dragon Lamp
s,rare_dragonlamp*3,Silver Dragon Lamp
s,rare_icecream*1,Blue Ice Cream Maker
s,rare_icecream*7,Choco Ice Cream Maker
s,rare_icecream*8,Aqua Ice Cream Maker
s,rare_icecream*2,Shamrock Shake Machine
s,rare_icecream*6,Ochre Ice Cream Maker
s,rare_icecream*9,Fuchsia Ice Cream Maker
s,rare_icecream*3,Purple Ice Cream Maker
s,rare_icecream*0,Red Ice Cream Maker
s,rare_icecream*4,Pink Ice Cream Maker
s,rare_icecream*5,Gold Ice Cream Maker
s,rare_fan*7,Brown Powered Fan
s,rare_fan*6,Orange Powered Fan
s,rare_fan*9,Fuchsia Powered Fan
s,rare_fan*3,Purple Powered Fan
s,rare_fan*0,Red Powered Fan
s,rare_fan*4,Superlove Pink Fan
s,rare_fan*5,Yellow Powered Fan
s,rare_fan*1,Blue Powered Fan
s,rare_fan*8,Turquoise Powered Fan
s,rare_fan*2,Green Powered Fan
s,queue_tile1*3,Aqua Habbo Roller
s,queue_tile1*6,Blue Habbo Roller
s,queue_tile1*4,Gold Habbo Roller
s,queue_tile1*9,Green Habbo Roller
s,queue_tile1*8,Teal Habbo Roller
s,queue_tile1*5,Black Habbo Roller
s,queue_tile1*7,Purple Habbo Roller
s,queue_tile1*2,Red Habbo Roller
s,queue_tile1*1,Pink Habbo Roller
s,queue_tile1*0,Silver Habbo Rollers
s,ticket,Big Ticket Bundle
s,rare_snowrug,Snow Patch
s,cn_lamp,Chinese Lantern
s,cn_sofa,Chinese Lacquer Sofa
s,sporttrack1*1,Clay Straight Track
s,sporttrack1*3,Grass Straight Track
s,sporttrack1*2,Synthetic Track
s,sporttrack2*1,Clay Corner Track
s,sporttrack2*2,Synthetic Corner Track
s,sporttrack2*3,Grass Corner Track
s,sporttrack3*1,Clay Finish Line
s,sporttrack3*2,Synthetic Finish Line
s,sporttrack3*3,Grass Finish Line!
s,footylamp,Soccer Ball Lamp
s,tree1,Old Christmas Tree
s,barchair_silo,Gray Bar Stool
s,divider_nor4*4,Aquamarine Shutter
s,traffic_light*1,Classic Traffic Light
s,traffic_light*2,Blue Traffic Light
s,traffic_light*3,Purple Traffic Light
s,traffic_light*4,Yellow Traffic Light
s,traffic_light*6,Red Traffic Light
s,rubberchair*1,Blue Inflatable Chair
s,rubberchair*2,Red Inflatable Chair
s,rubberchair*3,Orange Inflatable Chair
s,rubberchair*4,Ocean Inflatable Chair
s,rubberchair*5,Lime Inflatable Chair
s,rubberchair*6,Violet Inflatable Chair
s,barrier*1,Yellow Road Barrier
s,barrier*2,White Road Barrier
s,barrier*3,Red Road Barrier
s,rubberchair*7,White Inflatable Chair
s,rubberchair*8,Black Inflatable Chair
s,table_norja_med*2,Black Coffee Table
s,table_norja_med*3,White Coffee Table
s,table_norja_med*4,Aquamarine Coffee Table
s,table_norja_med*5,Pink Coffee Table
s,table_norja_med*6,Blue Coffee Table
s,table_norja_med*7,Green Coffee Table
s,table_norja_med*8,Yellow Coffee Table
s,table_norja_med*9,Red Coffee Table
s,couch_norja*2,Black Bench
s,couch_norja*3,White Bench
s,couch_norja*4,Aquamarine Bench
s,couch_norja*5,Pink Bench
s,couch_norja*6,Blue Bench
s,couch_norja*7,Green Iced Bench
s,couch_norja*8,Yellow Bench
s,couch_norja*9,Red Bench
s,shelves_norja*2,Black Bookcase
s,shelves_norja*3,White Bookcase
s,shelves_norja*4,Aquamarine Bookcase
s,shelves_norja*5,Pink Bookcase
s,shelves_norja*6,Blue Bookcase
s,shelves_norja*7,Green Bookcase
s,shelves_norja*9,Red Iced Bookcase
s,chair_norja*2,Black Chair
s,chair_norja*3,White Chair
s,chair_norja*4,Aquamarine Chair
s,chair_norja*5,Pink Chair
s,chair_norja*6,Blue Chair
s,chair_norja*7,Green Chair
s,chair_norja*8,Yellow Chair
s,chair_norja*9,Red Chair
s,divider_nor1*2,Black Corner
s,divider_nor1*3,White Corner
s,divider_nor1*4,Aquamarine Corner
s,divider_nor1*5,Pink Corner
s,divider_nor1*6,Blue Corner
s,divider_nor1*7,Green Corner
s,divider_nor1*8,Yellow Corner
s,divider_nor1*9,Red Corner
s,soft_sofa_norja*2,Black Sofa
s,soft_sofa_norja*3,White Sofa
s,soft_sofa_norja*4,Aquamarine Sofa
s,soft_sofa_norja*5,Pink Sofa
s,soft_sofa_norja*6,Blue Sofa
s,soft_sofa_norja*7,Green Sofa
s,soft_sofa_norja*8,Yellow Sofa
s,soft_sofa_norja*9,Red Sofa
s,soft_sofachair_norja*2,Black Sofachair
s,soft_sofachair_norja*3,White Sofachair
s,soft_sofachair_norja*4,Aquamarine Sofachair
s,soft_sofachair_norja*5,Pink Sofachair
s,soft_sofachair_norja*6,Blue Sofachair
s,soft_sofachair_norja*7,Green Sofachair
s,soft_sofachair_norja*8,Yellow Sofachair
s,soft_sofachair_norja*9,Red Sofachair
s,sofachair_silo*2,Black Armchair
s,sofachair_silo*3,White Armchair
s,sofachair_silo*4,Beige Armchair
s,sofachair_silo*5,Pink Armchair
s,sofachair_silo*6,Blue Armchair
s,sofachair_silo*7,Green Armchair
s,sofachair_silo*8,Yellow Armchair
s,sofachair_silo*9,Red Armchair
s,table_silo_small*2,Black Occasional Table
s,table_silo_small*3,White Occasional Table
s,table_silo_small*4,Beige Occasional Table
s,table_silo_small*5,Pink Occasional Table
s,table_silo_small*6,Blue Occasional Table
s,table_silo_small*7,Green Occasional Table
s,table_silo_small*8,Yellow Occasional Table
s,table_silo_small*9,Red Occasional Table
s,divider_silo1*2,Black Corner Shelf
s,divider_silo1*3,White Corner Shelf
s,divider_silo1*4,Beige Corner Shelf
s,divider_silo1*5,Pink Corner Shelf
s,divider_silo1*6,Blue Corner Shelf
s,divider_silo1*7,Green Corner Shelf
s,divider_silo1*8,Yellow Corner Shelf
s,divider_silo1*9,Red Corner Shelf
s,divider_silo3*2,Black Gate
s,divider_silo3*3,White Gate
s,divider_silo3*4,Beige Gate
s,divider_silo3*5,Pink Gate
s,divider_silo3*6,Blue Gate
s,divider_silo3*7,Green Gate
s,divider_silo3*8,Yellow Gate
s,divider_silo3*9,Red Gate
s,table_silo_med*2,Black Coffee Table
s,table_silo_med*3,White Coffee Table
s,table_silo_med*4,Beige Coffee Table
s,table_silo_med*5,Pink Coffee Table
s,table_silo_med*6,Blue Coffee Table
s,table_silo_med*7,Green Coffee Table
s,table_silo_med*8,Yellow Coffee Table
s,table_silo_med*9,Red Coffee Table
s,sofa_silo*2,Black Sofa
s,sofa_silo*3,White Sofa
s,sofa_silo*4,Beige Sofa
s,sofa_silo*5,Pink Sofa
s,sofa_silo*6,Blue Sofa
s,sofa_silo*7,Green Sofa
s,sofa_silo*8,Yellow Sofa
s,sofa_silo*9,Red Sofa
s,sofachair_polyfon*2,Black Armchair
s,sofachair_polyfon*3,White Armchair
s,sofachair_polyfon*4,Beige Armchair
s,sofachair_polyfon*6,Blue Armchair
s,sofachair_polyfon*7,Green Armchair
s,sofachair_polyfon*8,Yellow Armchair
s,sofachair_polyfon*9,Red Armchair
s,sofa_polyfon*2,Black Sofa
s,sofa_polyfon*3,White Sofa
s,sofa_polyfon*4,Beige Sofa
s,sofa_polyfon*6,Blue Sofa
s,sofa_polyfon*7,Green Sofa
s,sofa_polyfon*8,Yellow Sofa
s,sofa_polyfon*9,Red Sofa
s,bed_polyfon*2,Black Double Bed
s,bed_polyfon*3,White Double Bed
s,bed_polyfon*4,Beige Double Bed
s,bed_polyfon*6,Blue Double Bed
s,bed_polyfon*8,Yellow Double Bed
s,bed_polyfon*9,Red Double Bed
s,bed_polyfon_one*2,Black Single Bed
s,bed_polyfon_one*3,White Single Bed
s,bed_polyfon_one*4,Beige Single Bed
s,bed_polyfon_one*6,Blue Single Bed
s,bed_polyfon_one*7,Green Single Bed
s,bed_polyfon_one*8,Yellow Single Bed
s,bed_polyfon_one*9,Red Single Bed
s,bardesk_polyfon*2,Black Bar
s,bardesk_polyfon*3,White Bar
s,bardesk_polyfon*4,Beige Bar
s,bardesk_polyfon*5,Pink Bar
s,bardesk_polyfon*6,Blue Bar
s,bardesk_polyfon*7,Green Bar
s,bardesk_polyfon*8,Yellow Bar
s,bardesk_polyfon*9,Red Bar
s,bardeskcorner_polyfon*2,Black Corner
s,bardeskcorner_polyfon*3,White Corner
s,bardeskcorner_polyfon*4,Beige Corner
s,bardeskcorner_polyfon*5,Pink Corner
s,bardeskcorner_polyfon*6,Blue Corner
s,bardeskcorner_polyfon*7,Green Corner
s,bardeskcorner_polyfon*8,Yellow Corner
s,bardeskcorner_polyfon*9,Red Corner
s,divider_poly3*2,Black Gate
s,divider_poly3*3,White Gate
s,divider_poly3*4,Beige Gate
s,divider_poly3*5,Pink Gate
s,divider_poly3*6,Blue Gate
s,divider_poly3*7,Green Gate
s,divider_poly3*8,Yellow Gate
s,divider_poly3*9,Red Gate
s,chair_silo*2,Black Dining Chair
s,chair_silo*3,White Dining Chair
s,chair_silo*4,Beige Dining Chair
s,chair_silo*5,Pink Dining Chair
s,chair_silo*6,Blue Dining Chair
s,chair_silo*7,Green Dining Chair
s,chair_silo*8,Yellow Dining Chair
s,chair_silo*9,Red Dining Chair
s,divider_nor3*2,Black Gate
s,divider_nor3*3,White Gate
s,divider_nor3*4,Aquamarine Gate
s,divider_nor3*5,Pink Gate
s,divider_nor3*6,Blue Gate
s,divider_nor3*7,Green Gate
s,divider_nor3*8,Yellow Gate
s,divider_nor3*9,Red Gate
s,divider_nor2*2,Black Bar
s,divider_nor2*3,White Bar
s,divider_nor2*4,Aquamarine Bar
s,divider_nor2*5,Pink Bar
s,divider_nor2*6,Blue Bar
s,divider_nor2*7,Green Bar
s,divider_nor2*8,Yellow Bar
s,divider_nor2*9,Red Bar
s,silo_studydesk,Area Master Desk
s,solarium_norja,White Panel
s,solarium_norja*1,Black Panel
s,solarium_norja*2,Beige Panel
s,solarium_norja*3,Aquamarine Panel
s,solarium_norja*5,Pink Panel
s,solarium_norja*6,Blue Panel
s,solarium_norja*7,Green Panel
s,solarium_norja*8,Yellow Panel
s,solarium_norja*9,Red Panel
s,sandrug,Tropical Beach Rug
s,rare_moonrug,Moon Rug
s,chair_china,Chinese Lacquer Chair
s,china_table,Chinese Lacquer Table
s,sleepingbag*1,Red Sleeping Bag
s,sleepingbag*2,Lime Sleeping Bag
s,sleepingbag*3,Ocean Sleeping Bag
s,sleepingbag*4,Army Sleeping Bag
s,safe_silo,Gray Safe Minibar
s,sleepingbag*7,Orange Sleeping Bag
s,sleepingbag*9,Blue Sleeping Bag
s,sleepingbag*5,Graphite Sleeping Bag
s,sleepingbag*10,Khaki Sleeping Bag
s,sleepingbag*6,Purple Sleeping Bag
s,sleepingbag*8,Yellow Sleeping Bag
s,china_shelve,Chinese Lacquer Bookshelf
s,traffic_light*5,White Traffic Light
s,divider_nor4*2,Black Shutter
s,divider_nor4*3,White Shutter
s,divider_nor4*5,Pink Shutter
s,divider_nor4*6,Blue Shutter
s,divider_nor4*7,Green Shutter
s,divider_nor4*8,Yellow Shutter
s,divider_nor4*9,Red Shutter
s,divider_nor5*2,Black Angle
s,divider_nor5*3,White Angle
s,divider_nor5*4,Aquamarine Angle
s,divider_nor5*5,Pink Angle
s,divider_nor5*6,Blue Angle
s,divider_nor5*7,Green Angle
s,divider_nor5*8,Yellow Angle
s,divider_nor5*9,Red Angle
s,divider_nor4,Beige Shutter
s,wall_china,Dragon Screen
s,corner_china,Dragon Screen Corner
s,barchair_silo*2,Black Bar Stool
s,barchair_silo*3,White Bar Stool
s,barchair_silo*4,Beige Bar Stool
s,barchair_silo*5,Pink Bar Stool
s,barchair_silo*6,Blue Bar Stool
s,barchair_silo*7,Green Bar Stool
s,barchair_silo*8,Yellow Bar Stool
s,barchair_silo*9,Red Bar Stool
s,safe_silo*2,Black Safe Minibar
s,safe_silo*3,White Safe Minibar
s,safe_silo*4,Beige Safe Minibar
s,safe_silo*5,Pink Safe Minibar
s,safe_silo*6,Blue Safe Minibar
s,safe_silo*7,Green Safe Minibar
s,safe_silo*8,Yellow Safe Minibar
s,safe_silo*9,Red Safe Minibar
s,glass_shelf,glass shelf
s,glass_chair,Glass Chair
s,glass_stool,Glass Stool
s,glass_sofa,Glass Sofa
s,glass_table,Glass Table
s,glass_table*2,Glass Table
s,glass_table*3,Glass Table
s,glass_table*4,Glass Table
s,glass_table*5,Glass Table
s,glass_table*6,Glass Table
s,glass_table*7,Glass Table
s,glass_table*8,Glass Table
s,glass_table*9,Glass Table
s,glass_chair*2,Glass Chair
s,glass_chair*3,Glass Chair
s,glass_chair*4,Glass Chair
s,glass_chair*5,Glass Chair
s,glass_chair*6,Glass Chair
s,glass_chair*7,Glass Chair
s,glass_chair*8,Glass Chair
s,glass_chair*9,Glass Chair
s,glass_sofa*2,Glass Sofa
s,glass_sofa*3,Glass Sofa
s,glass_sofa*4,Glass Sofa
s,glass_sofa*5,Glass Sofa
